id,X,input,output,out_i,rules
3,14,-2_-4_-6_-14,-2p0_-4p0_-6p0_-8p0_-10p0_-12p0_-14p0_-16p0_-18p0_-20p0_-22p0_-24p0_-26p0_-28p0_-30p0,-30,01001100010100000_001_000000
4,0,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-2,00102100020000010_100_000000
4,1,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-4,00102100020000010_100_000000
4,2,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,3,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,4,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,5,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,6,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,7,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,8,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,9,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,10,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,11,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,12,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,13,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
4,14,-2_-4_-6_-14,-2p0_-4p0_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6_-6,-6,00102100020000010_100_000000
5,0,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,1,00000000010001000_100_000000
5,1,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,2,00000000010001000_100_000000
5,2,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,3,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,4,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,5,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,6,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,7,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,8,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,9,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,10,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,11,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,12,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,13,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
5,14,1_2_4_-1,1_2_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000000010001000_100_000000
6,0,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,1,00000100020001000_010_000000
6,1,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,2,00000100020001000_010_000000
6,2,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,3,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,4,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,5,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,6,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,7,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,8,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,9,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,10,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,11,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,12,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,13,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
6,14,1_2_4_-1,1_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100020001000_010_000000
7,0,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,1,00100001010100000_100_000000
7,1,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,2,00100001010100000_100_000000
7,2,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,4,00100001010100000_100_000000
7,3,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,6,00100001010100000_100_000000
7,4,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,8,00100001010100000_100_000000
7,5,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,10,00100001010100000_100_000000
7,6,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,12,00100001010100000_100_000000
7,7,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,14,00100001010100000_100_000000
7,8,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,16,00100001010100000_100_000000
7,9,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,18,00100001010100000_100_000000
7,10,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,20,00100001010100000_100_000000
7,11,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,22,00100001010100000_100_000000
7,12,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,24,00100001010100000_100_000000
7,13,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,26,00100001010100000_100_000000
7,14,1_2_4_-1,1_2_4_6_8_10_12_14_16_18_20_22_24_26_28,28,00100001010100000_100_000000
8,0,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,1,00000100010001000_100_000000
8,1,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,2,00000100010001000_100_000000
8,2,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,4,00000100010001000_100_000000
8,3,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,4,00000100010001000_100_000000
8,4,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,4,00000100010001000_100_000000
8,5,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,4,00000100010001000_100_000000
8,6,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,4,00000100010001000_100_000000
8,7,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,4,00000100010001000_100_000000
8,8,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,4,00000100010001000_100_000000
8,9,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,4,00000100010001000_100_000000
8,10,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,4,00000100010001000_100_000000
8,11,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,4,00000100010001000_100_000000
8,12,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,4,00000100010001000_100_000000
8,13,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,4,00000100010001000_100_000000
8,14,1_2_4_-1,1_2_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0_4p0,4,00000100010001000_100_000000
9,0,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,1,00001100011000000_100_000000
9,1,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,2,00001100011000000_100_000000
9,2,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,-1,00001100011000000_100_000000
9,3,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,-1,00001100011000000_100_000000
9,4,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,-1,00001100011000000_100_000000
9,5,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,-1,00001100011000000_100_000000
9,6,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,-1,00001100011000000_100_000000
9,7,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,-1,00001100011000000_100_000000
9,8,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,-1,00001100011000000_100_000000
9,9,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,-1,00001100011000000_100_000000
9,10,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,-1,00001100011000000_100_000000
9,11,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,-1,00001100011000000_100_000000
9,12,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,-1,00001100011000000_100_000000
9,13,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,-1,00001100011000000_100_000000
9,14,1_2_4_-1,1p0_2p0_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1_-1,-1,00001100011000000_100_000000
10,0,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,1,00100000120000000_100_000000
10,1,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,2,00100000120000000_100_000000
10,2,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,4,00100000120000000_100_000000
10,3,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,6,00100000120000000_100_000000
10,4,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,9,00100000120000000_100_000000
10,5,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,12,00100000120000000_100_000000
10,6,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,16,00100000120000000_100_000000
10,7,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,20,00100000120000000_100_000000
10,8,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,25,00100000120000000_100_000000
10,9,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,30,00100000120000000_100_000000
10,10,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,36,00100000120000000_100_000000
10,11,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,42,00100000120000000_100_000000
10,12,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,49,00100000120000000_100_000000
10,13,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,56,00100000120000000_100_000000
10,14,1_2_4_-1,1_2_4_6_9_12_16_20_25_30_36_42_49_56_64,64,00100000120000000_100_000000
11,0,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,1,00000100010001000_100_000000
11,1,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,2,00000100010001000_100_000000
11,2,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100010001000_100_000000
11,3,1_2_4_-1,1p0_2p0_4_4_4_4_4_4_4_4_4_4_4_4_4,4,00000100010001000_100_000000
